Название;Цена ;50см;60см;70см;80см;90см;100см;малый;средний ;большой;эксклюзивный 
лента;30;;;;;;;;;;
пленка;100;;;;;;;;;;
крафт;150;;;;;;;;;;
пленка матовая;180;;;;;;;;;;
фетр;200;;;;;;;;;;
фоамиран;250;;;;;;;;;;
роза россия ;;130;140;150;170;;;;;;
роза голландия;;145;155;175;185;195;210;;;;
роза эквадор;;155;165;180;195;205;220;;;;
роза кения;;120;140;;;;;;;;
роза кустовая;190;;;;;;;;;;
роза редкие;270;;;;;;;;;;
роза пионна видная;210;;;;;;;;;;
тюльпаны ;100;;;;;;;;;;
хризантемы одноголовая;170;;;;;;;;;;
хризантемы кустовые ;150;;;;;;;;;;
гиацинт;150;;;;;;;;;;
пион;400;;;;;;;;;;
альстромерия;140;;;;;;;;;;
ирис;100;;;;;;;;;;
гербера;150;;;;;;;;;;
лилия;450;;;;;;;;;;
гортензия;500;;;;;;;;;;
эустома;180;;;;;;;;;;
гипсофил;170;;;;;;;;;;
ромашки;100;;;;;;;;;;
гвоздика ;90;;;;;;;;;;
нарцисс;100;;;;;;;;;;
букеты;;;;;;;;2250;3300;4400;700
цветы в коробках ;;;;;;;;2700;3500;4500;6000
корзина с цветами ;;;;;;;;2850;3800;5000;8000
