Название;Цены;50см;60см;70см;80см;90см;100см;малый;средний ;большой;эксклюзивный 
лента;30;;;;;;;;;;
пленка;120;;;;;;;;;;
крафт;150;;;;;;;;;;
пленка матовая;180;;;;;;;;;;
фетр;200;;;;;;;;;;
фоамиран;250;;;;;;;;;;
роза россия ;;160;165;175;185;;;;;;
роза голландия;;180;185;195;205;250;310;;;;
роза эквадор ;;175;180;190;200;260;300;;;;
роза кения ;;120;140;;;;;;;;
роза кустовая;210;;;;;;;;;;
роза редкие;270;;;;;;;;;;
роза пионна видная;240;;;;;;;;;;
тюльпаны ;100;;;;;;;;;;
хризантемы одноголовая;195;;;;;;;;;;
хризантемы кустовые ;185;;;;;;;;;;
гиацинт;170;;;;;;;;;;
пион;400;;;;;;;;;;
альстромерия;140;;;;;;;;;;
ирис;100;;;;;;;;;;
гербера;160;;;;;;;;;;
лилия;500;;;;;;;;;;
гортензия;400;;;;;;;;;;
эустома;180;;;;;;;;;;
гипсофил;180;;;;;;;;;;
ромашки;100;;;;;;;;;;
гвоздика ;120;;;;;;;;;;
букеты ;;;;;;;;2400;3300;4400;7000
цветы в коробках;;;;;;;;2750;3500;4500;6000
корзины с цветами ;;;;;;;;2800;3800;5000;8000
